reaction_type,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,reaction_smiles,smiles,reactant_smiles,product_smiles,reaction_key,reactant_types_key,product_type,reactant_a_all_motifs,reactant_b_all_motifs,all_reactant_motifs,all_product_motifs,reacted_motifs,formed_motifs,spectator_motifs,is_intramolecular,coupling_reagent,secondary_solvent,catalytic_system,condition_core,raw_reagents,raw_solvents
Ar-CHO|RCH2-OH -> Ar-R || Furan,96,1.2890030070149565,Ar-CHO,RCH2-OH,7783-52-0,,,PhMe,,O=Cc1ccco1.CC(C)(CO)CO>>CC1(C)COC(c2ccco2)OC1,O=Cc1ccco1.CC(C)(CO)CO>>CC1(C)COC(c2ccco2)OC1,O=Cc1ccco1.CC(C)(CO)CO,CC1(C)COC(c2ccco2)OC1,Ar-CHO|RCH2-OH -> Ar-R || Furan,Ar-CHO|RCH2-OH,"Ar-R,RCH2-OR,R2CH-OR,Furan","Ar-CHO,Any-CHO,Furan","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|Furan|H-OR|RCH2-OH,Ar-R|Furan|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Furan,False,,,7783-52-0,,[],"[{""name"": ""PhMe"", ""cas"": ""108-88-3""}]"
Ar-CHO|R2CH-OR -> Ar-R || Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,92,-0.06562179588897045,Ar-CHO,R2CH-OR,38465-60-0,,,,,Cc1ccc(C=O)cc1.COC(OC)OC>>COC(OC)c1ccc(C)cc1,Cc1ccc(C=O)cc1.COC(OC)OC>>COC(OC)c1ccc(C)cc1,Cc1ccc(C=O)cc1.COC(OC)OC,COC(OC)c1ccc(C)cc1,Ar-CHO|R2CH-OR -> Ar-R || Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Ar-CHO|R2CH-OR,"Ar-R,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","Ar-CHO,Any-CHO,Ar-R","R2CH-OR,CH3-OR,Alkyl-OR,Any-OR",Alkyl-OR|Any-CHO|Any-OR|Ar-CHO|Ar-R|CH3-OR|R2CH-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Alkyl-OR|Any-CHO|Any-OR|Ar-CHO|CH3-OR|R2CH-OR,Ar-R,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,False,,,38465-60-0,,[],[]
Any-C=C|RCH2-OH -> Alkyl-C=C || Any-C=C|Any-Dienophile|Ar-C=C|H-Alkenyl|Motif-C=C,80,-1.525298740759188,Any-C=C,RCH2-OH,20244-61-5,,NaOH,EtOH / water,,O=CC=Cc1ccccc1.OCCO>>C(=CC1OCCO1)c1ccccc1,O=CC=Cc1ccccc1.OCCO>>C(=CC1OCCO1)c1ccccc1,O=CC=Cc1ccccc1.OCCO,C(=CC1OCCO1)c1ccccc1,Any-C=C|RCH2-OH -> Alkyl-C=C || Any-C=C|Any-Dienophile|Ar-C=C|H-Alkenyl|Motif-C=C,Any-C=C|RCH2-OH,"H-Alkenyl,Ar-C=C,Any-Dienophile,Motif-C=C,Any-C=C,Alkyl-C=C,RCH2-OR,R2CH-OR","H-Alkenyl,Any-Dienophile,Motif-C=C,Any-C=C,Ar-C=C,Alkenyl-CHO,Any-CHO","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkenyl-CHO|Alkyl-OH|Any-C=C|Any-CHO|Any-Dienophile|Any-OH|Ar-C=C|H-Alkenyl|H-OR|Motif-C=C|RCH2-OH,Alkyl-C=C|Any-C=C|Any-Dienophile|Ar-C=C|H-Alkenyl|Motif-C=C|R2CH-OR|RCH2-OR,Alkenyl-CHO|Alkyl-OH|Any-C=C|Any-CHO|Any-OH|H-OR|RCH2-OH,Alkyl-C=C|R2CH-OR|RCH2-OR,Any-C=C|Any-Dienophile|Ar-C=C|H-Alkenyl|Motif-C=C,False,,,20244-61-5,NaOH,"[{""name"": ""122-51-0"", ""cas"": ""122-51-0"", ""role"": ""UNK""}, {""name"": ""NaOH"", ""cas"": ""1310-73-2"", ""role"": ""BASE""}]","[{""name"": ""EtOH"", ""cas"": ""64-17-5""}, {""name"": ""water"", ""cas"": ""7732-18-5""}]"
R2CH-OH|RCH2-CHO -> R2CH-OR || None,86,-0.6687576284135923,R2CH-OH,RCH2-CHO,7631-86-9,12027-10-0,,CyH,,CC(O)CO.CCCC=O>>CCCC1OCC(C)O1,CC(O)CO.CCCC=O>>CCCC1OCC(C)O1,CC(O)CO.CCCC=O,CCCC1OCC(C)O1,R2CH-OH|RCH2-CHO -> R2CH-OR || None,R2CH-OH|RCH2-CHO,"R2CH-OR,Alkyl-OR,Any-OR,RCH2-OR","R2CH-OH,Alkyl-OH,Any-OH,H-OR,RCH2-OH","RCH2-CHO,Alkyl-CHO,Any-CHO,Alkyl-H-acidic",Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|H-OR|R2CH-OH|RCH2-CHO|RCH2-OH,Alkyl-OR|Any-OR|R2CH-OR|RCH2-OR,Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|H-OR|R2CH-OH|RCH2-CHO|RCH2-OH,Alkyl-OR|Any-OR|R2CH-OR|RCH2-OR,None,False,,,"7631-86-9, 12027-10-0",,[],"[{""name"": ""CyH"", ""cas"": ""110-82-7""}]"
Ar-CHO|CH3-OH -> Ar-R || None,85,-0.9271058728403531,Ar-CHO,CH3-OH,7783-52-0,,,,,O=Cc1ccc2ccccc2c1.CO>>COC(OC)c1ccc2ccccc2c1,O=Cc1ccc2ccccc2c1.CO>>COC(OC)c1ccc2ccccc2c1,O=Cc1ccc2ccccc2c1.CO,COC(OC)c1ccc2ccccc2c1,Ar-CHO|CH3-OH -> Ar-R || None,Ar-CHO|CH3-OH,"Ar-R,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","Ar-CHO,Any-CHO","CH3-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|CH3-OH|H-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|CH3-OH|H-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,None,False,,,7783-52-0,,[],[]
Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Cl|Ar-X,94,0.4868756344188429,Ar-CHO,RCH2-OH,20244-61-5,,NaOH,EtOH / water,,O=Cc1ccc(Cl)cc1.OCCCO>>Clc1ccc(C2OCCCO2)cc1,O=Cc1ccc(Cl)cc1.OCCCO>>Clc1ccc(C2OCCCO2)cc1,O=Cc1ccc(Cl)cc1.OCCCO,Clc1ccc(C2OCCCO2)cc1,Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Cl|Ar-X,Ar-CHO|RCH2-OH,"Ar-R,Ar-Cl,Ar-X,Any-X,RCH2-OR,R2CH-OR","Ar-CHO,Any-CHO,Ar-Cl,Ar-X,Any-X","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Any-X|Ar-CHO|Ar-Cl|Ar-X|H-OR|RCH2-OH,Any-X|Ar-Cl|Ar-R|Ar-X|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Any-X|Ar-Cl|Ar-X,False,,,20244-61-5,NaOH,"[{""name"": ""122-51-0"", ""cas"": ""122-51-0"", ""role"": ""UNK""}, {""name"": ""NaOH"", ""cas"": ""1310-73-2"", ""role"": ""BASE""}]","[{""name"": ""EtOH"", ""cas"": ""64-17-5""}, {""name"": ""water"", ""cas"": ""7732-18-5""}]"
Ar-CHO|RCH2-OR -> Ar-R || Any-OH|Ar-OH|H-OR|R2CH-OR|RCH2-OR,90,0.0,RCH2-OR,Ar-CHO,151200-14-5,,,122-51-0,,CCOC(OCC)OCC.O=Cc1ccc(O)cc1>>CCOC(OCC)c1ccc(O)cc1,CCOC(OCC)OCC.O=Cc1ccc(O)cc1>>CCOC(OCC)c1ccc(O)cc1,CCOC(OCC)OCC.O=Cc1ccc(O)cc1,CCOC(OCC)c1ccc(O)cc1,Ar-CHO|RCH2-OR -> Ar-R || Any-OH|Ar-OH|H-OR|R2CH-OR|RCH2-OR,Ar-CHO|RCH2-OR,"Ar-OH,Any-OH,H-OR,Ar-R,RCH2-OR,R2CH-OR","RCH2-OR,R2CH-OR","Ar-CHO,Any-CHO,Ar-OH,Any-OH,H-OR",Any-CHO|Any-OH|Ar-CHO|Ar-OH|H-OR|R2CH-OR|RCH2-OR,Any-OH|Ar-OH|Ar-R|H-OR|R2CH-OR|RCH2-OR,Any-CHO|Ar-CHO|R2CH-OR|RCH2-OR,Ar-R,Any-OH|Ar-OH|H-OR|R2CH-OR|RCH2-OR,False,,,151200-14-5,,[],"[{""name"": ""122-51-0"", ""cas"": ""122-51-0""}]"
Ar-CHO|RCH2-OH -> Ar-NO2 || Any-NO2|Any-NR2|Ar-NO2|Ar-NR2,97,1.6334469138379382,RCH2-OH,Ar-CHO,7782-42-5,,,PhH,,OCC(CO)(CO)CO.O=Cc1ccccc1[N+](=O)[O-]>>O=[N+]([O-])c1ccccc1C1OCC2(CO1)COC(c1ccccc1[N+](=O)[O-])OC2,OCC(CO)(CO)CO.O=Cc1ccccc1[N+](=O)[O-]>>O=[N+]([O-])c1ccccc1C1OCC2(CO1)COC(c1ccccc1[N+](=O)[O-])OC2,OCC(CO)(CO)CO.O=Cc1ccccc1[N+](=O)[O-],O=[N+]([O-])c1ccccc1C1OCC2(CO1)COC(c1ccccc1[N+](=O)[O-])OC2,Ar-CHO|RCH2-OH -> Ar-NO2 || Any-NO2|Any-NR2|Ar-NO2|Ar-NR2,Ar-CHO|RCH2-OH,"Ar-NO2,Ar-NR2,Any-NO2,Any-NR2,Ar-R,RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-NO2,Ar-NR2,Any-NO2,Any-NR2,Ar-CHO,Any-CHO",Alkyl-OH|Any-CHO|Any-NO2|Any-NR2|Any-OH|Ar-CHO|Ar-NO2|Ar-NR2|H-OR|RCH2-OH,Any-NO2|Any-NR2|Ar-NO2|Ar-NR2|Ar-R|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Any-NO2|Any-NR2|Ar-NO2|Ar-NR2|Ar-R|R2CH-OR|RCH2-OR,Any-NO2|Any-NR2|Ar-NO2|Ar-NR2,False,,,7782-42-5,,[],"[{""name"": ""PhH"", ""cas"": ""71-43-2""}]"
Ar-COR|RCH2-OH -> Ar-R || None,82,-1.4282035960452133,RCH2-OH,Ar-COR,7601-90-3,7631-86-9,,EtOH,,CCO.CC(=O)c1ccccc1>>CCOC(C)(OCC)c1ccccc1,CCO.CC(=O)c1ccccc1>>CCOC(C)(OCC)c1ccccc1,CCO.CC(=O)c1ccccc1,CCOC(C)(OCC)c1ccccc1,Ar-COR|RCH2-OH -> Ar-R || None,Ar-COR|RCH2-OH,"Ar-R,RCH2-OR,R3C-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-COR,Alkyl-COR,Any-COR,Alkyl-H-acidic",Alkyl-COR|Alkyl-H-acidic|Alkyl-OH|Any-COR|Any-OH|Ar-COR|H-OR|RCH2-OH,Ar-R|R3C-OR|RCH2-OR,Alkyl-COR|Alkyl-H-acidic|Alkyl-OH|Any-COR|Any-OH|Ar-COR|H-OR|RCH2-OH,Ar-R|R3C-OR|RCH2-OR,None,False,,,"7601-90-3, 7631-86-9",,"[{""name"": ""122-51-0"", ""cas"": ""122-51-0"", ""role"": ""UNK""}]","[{""name"": ""EtOH"", ""cas"": ""64-17-5""}]"
RCH2-CHO|RCH2-OR -> None || Ar-R|R2CH-OR|RCH2-OR,83,-1.095559223419623,RCH2-CHO,RCH2-OR,16872-11-0,,,,,O=CCCc1ccccc1.CCOC(OCC)OCC>>CCOC(CCc1ccccc1)OCC,O=CCCc1ccccc1.CCOC(OCC)OCC>>CCOC(CCc1ccccc1)OCC,O=CCCc1ccccc1.CCOC(OCC)OCC,CCOC(CCc1ccccc1)OCC,RCH2-CHO|RCH2-OR -> None || Ar-R|R2CH-OR|RCH2-OR,RCH2-CHO|RCH2-OR,"Ar-R,RCH2-OR,R2CH-OR","Ar-R,RCH2-CHO,Alkyl-CHO,Any-CHO,Alkyl-H-acidic","RCH2-OR,R2CH-OR",Alkyl-CHO|Alkyl-H-acidic|Any-CHO|Ar-R|R2CH-OR|RCH2-CHO|RCH2-OR,Ar-R|R2CH-OR|RCH2-OR,Alkyl-CHO|Alkyl-H-acidic|Any-CHO|R2CH-OR|RCH2-CHO|RCH2-OR,None,Ar-R|R2CH-OR|RCH2-OR,False,,,16872-11-0,,[],[]
Ar-CHO|RCH2-OH -> Ar-R || Any-NO2|Any-NR2|Ar-NO2|Ar-NR2,90,-0.1404202025995114,RCH2-OH,Ar-CHO,7631-86-9,12067-99-1,,,,OCCS.O=Cc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(C2OCCS2)cc1,OCCS.O=Cc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(C2OCCS2)cc1,OCCS.O=Cc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(C2OCCS2)cc1,Ar-CHO|RCH2-OH -> Ar-R || Any-NO2|Any-NR2|Ar-NO2|Ar-NR2,Ar-CHO|RCH2-OH,"Ar-NO2,Ar-NR2,Any-NO2,Any-NR2,Ar-R,RCH2-OR,R2CH-OR,RCH2-SR,R2CH-SR","RCH2-OH,Alkyl-OH,Any-OH,H-OR,RCH2-SH,Alkyl-SH,Any-SH,H-SR","Ar-NO2,Ar-NR2,Any-NO2,Any-NR2,Ar-CHO,Any-CHO",Alkyl-OH|Alkyl-SH|Any-CHO|Any-NO2|Any-NR2|Any-OH|Any-SH|Ar-CHO|Ar-NO2|Ar-NR2|H-OR|H-SR|RCH2-OH|RCH2-SH,Any-NO2|Any-NR2|Ar-NO2|Ar-NR2|Ar-R|R2CH-OR|R2CH-SR|RCH2-OR|RCH2-SR,Alkyl-OH|Alkyl-SH|Any-CHO|Any-OH|Any-SH|Ar-CHO|H-OR|H-SR|RCH2-OH|RCH2-SH,Ar-R|R2CH-OR|R2CH-SR|RCH2-OR|RCH2-SR,Any-NO2|Any-NR2|Ar-NO2|Ar-NR2,False,,,"7631-86-9, 12067-99-1",,[],[]
Ar-CHO|RCH2-OH -> Ar-R || None,95,0.5083091541042607,Ar-CHO,RCH2-OH,13450-90-3,,,EG,,O=Cc1ccccc1.OCCO>>c1ccc(C2OCCO2)cc1,O=Cc1ccccc1.OCCO>>c1ccc(C2OCCO2)cc1,O=Cc1ccccc1.OCCO,c1ccc(C2OCCO2)cc1,Ar-CHO|RCH2-OH -> Ar-R || None,Ar-CHO|RCH2-OH,"Ar-R,RCH2-OR,R2CH-OR","Ar-CHO,Any-CHO","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,None,False,,,13450-90-3,,[],"[{""name"": ""EG"", ""cas"": ""107-21-1""}]"
Alkyl-Si|Ar-COR -> Ar-R || Alkyl-Br|Alkyl-X|Any-X|RCH2-Br|RCH2-X,99,0.0,Ar-COR,Alkyl-Si,81628-07-1,,,,,O=C(CBr)c1ccccc1.C[Si](C)(C)OCCO[Si](C)(C)C>>BrCC1(c2ccccc2)OCCO1,O=C(CBr)c1ccccc1.C[Si](C)(C)OCCO[Si](C)(C)C>>BrCC1(c2ccccc2)OCCO1,O=C(CBr)c1ccccc1.C[Si](C)(C)OCCO[Si](C)(C)C,BrCC1(c2ccccc2)OCCO1,Alkyl-Si|Ar-COR -> Ar-R || Alkyl-Br|Alkyl-X|Any-X|RCH2-Br|RCH2-X,Alkyl-Si|Ar-COR,"Ar-R,RCH2-OR,R3C-OR,RCH2-Br,Alkyl-Br,RCH2-X,Alkyl-X,Any-X","Ar-COR,RCH2-COR,Alkyl-COR,Any-COR,Alkyl-H-acidic,RCH2-Br,Alkyl-Br,RCH2-X,Alkyl-X,Any-X","Alkyl-Si,Any-Si,Any-OR",Alkyl-Br|Alkyl-COR|Alkyl-H-acidic|Alkyl-Si|Alkyl-X|Any-COR|Any-OR|Any-Si|Any-X|Ar-COR|RCH2-Br|RCH2-COR|RCH2-X,Alkyl-Br|Alkyl-X|Any-X|Ar-R|R3C-OR|RCH2-Br|RCH2-OR|RCH2-X,Alkyl-COR|Alkyl-H-acidic|Alkyl-Si|Any-COR|Any-OR|Any-Si|Ar-COR|RCH2-COR,Ar-R|R3C-OR|RCH2-OR,Alkyl-Br|Alkyl-X|Any-X|RCH2-Br|RCH2-X,False,,,81628-07-1,,[],[]
RCH2-CHO|RCH2-OH -> RCH2-OR || Ar-R,81,-1.3403012515151815,RCH2-CHO,RCH2-OH,10049-08-8,,,504-63-2 / water,,O=CCCc1ccccc1.OCCCO>>c1ccc(CCC2OCCCO2)cc1,O=CCCc1ccccc1.OCCCO>>c1ccc(CCC2OCCCO2)cc1,O=CCCc1ccccc1.OCCCO,c1ccc(CCC2OCCCO2)cc1,RCH2-CHO|RCH2-OH -> RCH2-OR || Ar-R,RCH2-CHO|RCH2-OH,"Ar-R,RCH2-OR,R2CH-OR","Ar-R,RCH2-CHO,Alkyl-CHO,Any-CHO,Alkyl-H-acidic","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|Ar-R|H-OR|RCH2-CHO|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|H-OR|RCH2-CHO|RCH2-OH,R2CH-OR|RCH2-OR,Ar-R,False,,,10049-08-8,,"[{""name"": ""7757-82-6"", ""cas"": ""7757-82-6"", ""role"": ""UNK""}]","[{""name"": ""504-63-2"", ""cas"": ""504-63-2""}, {""name"": ""water"", ""cas"": ""7732-18-5""}]"
Alkyl-H-acidic|CH3-OH -> R3C-OR || None,88,-1.0837030691074563,CH3-OH,Alkyl-H-acidic,959655-62-0,,,,,CO.O=C1CCCCC1>>COC1(OC)CCCCC1,CO.O=C1CCCCC1>>COC1(OC)CCCCC1,CO.O=C1CCCCC1,COC1(OC)CCCCC1,Alkyl-H-acidic|CH3-OH -> R3C-OR || None,Alkyl-H-acidic|CH3-OH,"R3C-OR,CH3-OR,Alkyl-OR,Any-OR","CH3-OH,Alkyl-OH,Any-OH,H-OR","Alkyl-H-acidic,RCH2-COR,Alkyl-COR,Any-COR",Alkyl-COR|Alkyl-H-acidic|Alkyl-OH|Any-COR|Any-OH|CH3-OH|H-OR|RCH2-COR,Alkyl-OR|Any-OR|CH3-OR|R3C-OR,Alkyl-COR|Alkyl-H-acidic|Alkyl-OH|Any-COR|Any-OH|CH3-OH|H-OR|RCH2-COR,Alkyl-OR|Any-OR|CH3-OR|R3C-OR,None,False,,,959655-62-0,,[],[]
Ar-CHO|RCH2-OH -> Ar-R || Furan,85,-1.2019082092436753,Ar-CHO,RCH2-OH,88189-03-1,,,,,O=Cc1ccco1.OCCO>>c1coc(C2OCCO2)c1,O=Cc1ccco1.OCCO>>c1coc(C2OCCO2)c1,O=Cc1ccco1.OCCO,c1coc(C2OCCO2)c1,Ar-CHO|RCH2-OH -> Ar-R || Furan,Ar-CHO|RCH2-OH,"Ar-R,RCH2-OR,R2CH-OR,Furan","Ar-CHO,Any-CHO,Furan","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|Furan|H-OR|RCH2-OH,Ar-R|Furan|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Furan,False,,,88189-03-1,,[],[]
Alkyl-H-acidic|R2CH-OR -> R3C-OR || Alkyl-Ester|Alkyl-H-acidic|Alkyl-OR|Any-CO2R|Any-OR|CH3-OR|RCH2-CO2R,94,0.7071067811865476,R2CH-OR,Alkyl-H-acidic,p-TsOH,1318-93-0,,MeOH,,COC(OC)OC.CCOC(=O)CC(C)=O>>CCOC(=O)CC(C)(OC)OC,COC(OC)OC.CCOC(=O)CC(C)=O>>CCOC(=O)CC(C)(OC)OC,COC(OC)OC.CCOC(=O)CC(C)=O,CCOC(=O)CC(C)(OC)OC,Alkyl-H-acidic|R2CH-OR -> R3C-OR || Alkyl-Ester|Alkyl-H-acidic|Alkyl-OR|Any-CO2R|Any-OR|CH3-OR|RCH2-CO2R,Alkyl-H-acidic|R2CH-OR,"RCH2-CO2R,Alkyl-Ester,Any-CO2R,Alkyl-H-acidic,R3C-OR,CH3-OR,Alkyl-OR,Any-OR","R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","RCH2-CO2R,Alkyl-Ester,Any-CO2R,Alkyl-H-acidic,RCH2-COR,Alkyl-COR,Any-COR",Alkyl-COR|Alkyl-Ester|Alkyl-H-acidic|Alkyl-OR|Any-CO2R|Any-COR|Any-OR|CH3-OR|R2CH-OR|RCH2-CO2R|RCH2-COR,Alkyl-Ester|Alkyl-H-acidic|Alkyl-OR|Any-CO2R|Any-OR|CH3-OR|R3C-OR|RCH2-CO2R,Alkyl-COR|Alkyl-H-acidic|Alkyl-OR|Any-COR|Any-OR|CH3-OR|R2CH-OR|RCH2-COR,R3C-OR,Alkyl-Ester|Alkyl-H-acidic|Alkyl-OR|Any-CO2R|Any-OR|CH3-OR|RCH2-CO2R,False,,,"p-TsOH, 1318-93-0",,[],"[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
Ar-CHO|RCH2-OH -> Ar-R || Alkyl-H-acidic|Alkyl-OSO2R|Alkyl-OTs|Alkyl-SO2R|Alkyl-SR|Any-SO2R|Any-SR|Ar-SR|CH3-SR,89,0.0,RCH2-OH,Ar-CHO,128008-30-0,,,,,OCCO.CS(=O)(=O)c1ccc(C=O)cc1>>CS(=O)(=O)c1ccc(C2OCCO2)cc1,OCCO.CS(=O)(=O)c1ccc(C=O)cc1>>CS(=O)(=O)c1ccc(C2OCCO2)cc1,OCCO.CS(=O)(=O)c1ccc(C=O)cc1,CS(=O)(=O)c1ccc(C2OCCO2)cc1,Ar-CHO|RCH2-OH -> Ar-R || Alkyl-H-acidic|Alkyl-OSO2R|Alkyl-OTs|Alkyl-SO2R|Alkyl-SR|Any-SO2R|Any-SR|Ar-SR|CH3-SR,Ar-CHO|RCH2-OH,"Alkyl-OTs,Ar-SR,Ar-R,Alkyl-SO2R,Alkyl-OSO2R,CH3-SR,Alkyl-SR,Any-SO2R,Any-SR,Alkyl-H-acidic,RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Alkyl-OTs,Ar-SR,Alkyl-SO2R,Alkyl-OSO2R,CH3-SR,Alkyl-SR,Any-SO2R,Any-SR,Alkyl-H-acidic",Alkyl-H-acidic|Alkyl-OH|Alkyl-OSO2R|Alkyl-OTs|Alkyl-SO2R|Alkyl-SR|Any-CHO|Any-OH|Any-SO2R|Any-SR|Ar-CHO|Ar-SR|CH3-SR|H-OR|RCH2-OH,Alkyl-H-acidic|Alkyl-OSO2R|Alkyl-OTs|Alkyl-SO2R|Alkyl-SR|Any-SO2R|Any-SR|Ar-R|Ar-SR|CH3-SR|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Alkyl-H-acidic|Alkyl-OSO2R|Alkyl-OTs|Alkyl-SO2R|Alkyl-SR|Any-SO2R|Any-SR|Ar-SR|CH3-SR,False,,,128008-30-0,,[],[]
Ar-CHO|RCH2-OH -> Ar-R || Any-OH|Ar-OH|H-OR,93,0.44902774006637736,RCH2-OH,Ar-CHO,1114567-80-4,,,PhMe,,CCO.O=Cc1ccc(O)cc1>>CCOC(OCC)c1ccc(O)cc1,CCO.O=Cc1ccc(O)cc1>>CCOC(OCC)c1ccc(O)cc1,CCO.O=Cc1ccc(O)cc1,CCOC(OCC)c1ccc(O)cc1,Ar-CHO|RCH2-OH -> Ar-R || Any-OH|Ar-OH|H-OR,Ar-CHO|RCH2-OH,"Ar-OH,Any-OH,H-OR,Ar-R,RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|Ar-OH|H-OR|RCH2-OH,Any-OH|Ar-OH|Ar-R|H-OR|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Any-OH|Ar-OH|H-OR,False,,,1114567-80-4,,[],"[{""name"": ""PhMe"", ""cas"": ""108-88-3""}]"
Ar-CHO|RCH2-OR -> Ar-R || Alkyl-OR|Any-OR|Ar-OR|R2CH-OR|RCH2-OR,90,0.0,Ar-CHO,RCH2-OR,13463-67-7,14808-79-8,,EtOH,,O=Cc1ccc2c(c1)OCO2.CCOC(OCC)OCC>>CCOC(OCC)c1ccc2c(c1)OCO2,O=Cc1ccc2c(c1)OCO2.CCOC(OCC)OCC>>CCOC(OCC)c1ccc2c(c1)OCO2,O=Cc1ccc2c(c1)OCO2.CCOC(OCC)OCC,CCOC(OCC)c1ccc2c(c1)OCO2,Ar-CHO|RCH2-OR -> Ar-R || Alkyl-OR|Any-OR|Ar-OR|R2CH-OR|RCH2-OR,Ar-CHO|RCH2-OR,"Ar-OR,RCH2-OR,Alkyl-OR,Any-OR,Ar-R,R2CH-OR","Ar-CHO,Any-CHO,Ar-OR,RCH2-OR,Alkyl-OR,Any-OR","RCH2-OR,R2CH-OR",Alkyl-OR|Any-CHO|Any-OR|Ar-CHO|Ar-OR|R2CH-OR|RCH2-OR,Alkyl-OR|Any-OR|Ar-OR|Ar-R|R2CH-OR|RCH2-OR,Any-CHO|Ar-CHO|R2CH-OR|RCH2-OR,Ar-R,Alkyl-OR|Any-OR|Ar-OR|R2CH-OR|RCH2-OR,False,,,"13463-67-7, 14808-79-8",,[],"[{""name"": ""EtOH"", ""cas"": ""64-17-5""}]"
